ID,Population
GOC 5_2D1,GOC
GOC 8_2E1,GOC
GOC S147 4_2F3,GOC
GOC S203 13_2E4,GOC
GOC S348 5_2G3,GOC
GOC S368 1_2C3,GOC
GOC S368 2_2D3,GOC
GOC S376 3_2E3,GOC
GOC S85 10_2C4,GOC
GOC S87 11_2D4,GOC
GOC S90 7_2H3,GOC
GOC S91 9_2B4,GOC
GOC S94 8_2A4,GOC
GOC_s 9_2B6,GOC
GOC_s469_f_2A6,GOC
GOC_s469_m_2H5,GOC
GOC_s475_2G5,GOC
GOC229_2F4,GOC
GOC235_2D5,GOC
GOC237_2F5,GOC
HUB_1501_P18,Inbred
HUB_1501_P20,Inbred
HUB_1501_P28,Inbred
HUB_1501_P5,Inbred
HUB-15-01:004,Inbred
HUB-15-01:049,Inbred
HUB-15-01:063,Inbred
HUB-15-01:089,Inbred
JBG_A5_2C6,JBG
M1,TSV
M10,TSV
M11,TSV
M12,TSV
M13,TSV
M14,TSV
M15,TSV
M16,TSV
M17,TSV
M18,TSV
M19,TSV
M2,TSV
M21,TSV
M22,TSV
M23,TSV
M24,TSV
M3,TSV
M4,TSV
M6,TSV
M7,TSV
M8,TSV
M9,TSV
P15_2C10,JBG
P17_2D10,LBG
P4_2B10,JBG
Pool B1,Pool
Pool B2,Pool
Pool B3,Pool
Pool B4,Pool
Pool B5,Pool
POOLA1,Pool
POOLA2,Pool
POOLA3,Pool
POOLA4,Pool
POOLA5,Pool
W11_2E6,JBG
W14_2F6,JBG
W15_2A7,JBG
W17_2B7,JBG
W19_2C7,JBG
W20_2D7,JBG
W26_2E7,JBG
W29_2F7,JBG
W30_2G7,JBG
W32_2H7,JBG
W37_2A8,JBG
W41_2B8,JBG
W43_2C8,JBG
W45_2D8,JBG
W47_2E8,JBG
W49_2F8,JBG
W50_2G8,JBG
W57_2H8,JBG
W60_2A9,JBG
W63_2B9,JBG
W65_2C9,JBG
W69_2D9,JBG
W7_2D6,JBG
W78_2E9,JBG
W87_2F9,JBG
W88_2G9,JBG
W93_2H9,JBG
Y61_2A10,JBG
